quotes,authors
"'Carpe Diem' is a phrase that I try to embrace. It means seize the day, to make the most of the present and to give little thought to the past or future. In the time that I have here, I want to love and live life to the fullest while being a positive influence on others. And I want a full life for everyone.",Matt Czuchry
When the negative thoughts come - and they will; they come to all of us - it's not enough to just not dwell on it... You've got to replace it with a positive thought.,Joel Osteen
"Success or failure depends more upon attitude than upon capacity successful men act as though they have accomplished or are enjoying something. Soon it becomes a reality. Act, look, feel successful, conduct yourself accordingly, and you will be amazed at the positive results.",William James
"I have certain things that I stand for, certain things that I believe in, and if you don't like it and you tell me to go to hell, I think that's your God-given right as a fan. It's one of those deals where I'm that one guy who is outside of that realm of good guy, bad guy. I'm just me, and it elicits a response both positive and negative.",John Cena
"I believe to be a leader is to enable others to embrace a vision, initiative or assignment in a way that they feel a sense of purpose, ownership, personal engagement, and common cause. I was very affected as a child by my father's positive example as a civic leader who inspired others to share his commitment to improving our community.",Melanne Verveer
"Positive thinking is the notion that if you think good thoughts, things will work out well. Optimism is the feeling of thinking things will be well and be hopeful.",Martin Seligman
"No matter who you meet in life, you take something from them, positive or negative.",Gary Allan
I'm very protective of my energy. You have to protect your energy around outside sources because your positive energy can be canceled out by someone's dark energy.,Cordae
"It's a horrible name, Coldplay. It doesn't conjure up any positive thoughts.",Ian Brown
There are positive things that come of social media as well as negative.,Millie Bobby Brown
I am a positive thinker. You have to have this positive energy to get somewhere.,Philip Green
Life is all about being positive and celebrating what you have in the moment.,Vivek Oberoi
"I try to do the right thing. If you do what you know is right, and you're a good person, you might not win short-term all the time, and financial gains might not be there all the time, but ultimately, you can be pretty happy, and you can do some pretty good things in the world. Keep a positive outlook.",Gunnar Peterson
Always go into meetings or negotiations with a positive attitude. Tell yourself you're going to make this the best deal for all parties.,Natalie Massenet
